scrambleMode,nodeMode,matrixMode,lastStep,matrixSize,numBytesIn,numBytesOut,Loading Data,Padding Data,Scrambling,Outputting Scrambled Data,Outputting key
scrambling,bit,array,Done,18360,2001,3060,1,1,569,2,39
scrambling,byte,hashed,Done,3944,2051,5260,1,0,177,1,10
scrambling,bit,hashed,Done,18496,2051,3084,5,1,2253,3,39
scrambling,byte,linked,Done,3968,2051,5292,3,3,31,1,9
scrambling,bit,linked,Done,18496,2051,3084,2,1,422,1,41
scrambling,byte,array,Done,3933,2051,5244,0,1,55,0,9
scrambling,bit,array,Done,18496,2051,3084,1,1,555,2,40
scrambling,byte,hashed,Done,3245,2101,4328,1,1,147,1,7
scrambling,bit,hashed,Done,18904,2101,3152,5,1,2214,2,39
scrambling,byte,linked,Done,3224,2101,4300,1,1,28,0,13
scrambling,bit,linked,Done,19880,2101,3316,2,1,483,1,42
scrambling,byte,array,Done,3249,2101,4332,1,0,46,0,9
scrambling,bit,array,Done,19040,2101,3176,2,1,592,1,40
scrambling,byte,hashed,Done,3294,2151,4392,1,1,147,1,8
scrambling,bit,hashed,Done,19448,2151,3244,5,1,2492,3,40
scrambling,byte,linked,Done,3304,2151,4408,4,11,24,1,8
scrambling,bit,linked,Done,19880,2151,3316,3,1,481,2,44
scrambling,byte,array,Done,3286,2151,4384,1,0,44,1,8
scrambling,bit,array,Done,19448,2151,3244,1,1,644,2,44
scrambling,byte,hashed,Done,3348,2201,4464,1,1,157,1,8
scrambling,bit,hashed,Done,19872,2201,3312,5,2,2452,3,41
scrambling,byte,linked,Done,3363,2201,4484,0,1,26,1,8
scrambling,bit,linked,Done,20304,2201,3384,6,3,516,2,46
scrambling,byte,array,Done,3360,2201,4480,3,2,72,1,8
scrambling,bit,array,Done,20304,2201,3384,2,1,657,2,43
scrambling,byte,hashed,Done,3422,2251,4564,1,0,170,1,8
scrambling,bit,hashed,Done,20592,2251,3432,5,1,2602,3,43
scrambling,byte,linked,Done,3402,2251,4536,1,0,34,1,8
scrambling,bit,linked,Done,20304,2251,3384,2,1,493,1,45
scrambling,byte,array,Done,3422,2251,4564,1,0,50,0,12
scrambling,bit,array,Done,20160,2251,3360,2,0,655,80,81
scrambling,byte,hashed,Done,3480,2301,4640,7,5,185,0,9
